1000	C40001	C	2017-01-15	2017-01-16	USD	3823.75	305.90	0.00	0.00	2071.25	3823.75	Based on Sales Quotation 1000
1001	C40001	C	2017-01-21	2017-01-21	USD	23074.75	1245.98	0.00	0.00	12124.75	23074.75	Based on Sales Quotation 1013
1002	C40001	C	2017-02-02	2017-02-05	USD	10128.78	610.30	0.00	0.00	5381.28	10128.78	Based on Sales Quotation 1014
1003	C40001	C	2017-02-05	2017-02-07	USD	9944.85	795.59	0.00	0.00	5249.85	9944.85	Based on Sales Quotation 1015
1004	C40001	C	2017-03-01	2017-03-03	USD	60651.00	4852.08	0.00	0.00	31351.00	55678.99	Have a nice day!
1005	C40001	C	2017-03-08	2017-03-09	USD	23074.75	1753.68	5.00	1153.74	10971.01	23074.75	Based on Sales Quotation 1013
1006	C40001	C	2017-03-09	2017-03-11	USD	14573.95	1165.92	0.00	0.00	7878.95	14573.95	Based on Sales Quotation 1000
1007	C40001	C	2017-03-13	2017-03-15	USD	17347.00	1387.76	0.00	0.00	9797.00	17347.00	Based on Sales Quotation 1003
1008	C30009	C	2017-03-17	2017-03-19	USD	2430.00	194.40	0.00	0.00	1297.50	2430.00	Based on Sales Quotation 1010
1009	C30009	C	2017-03-17	2017-03-19	USD	1540.00	123.20	0.00	0.00	767.50	1540.00	Based on Sales Quotation 1012
1010	C40002	C	2017-03-17	2017-03-21	USD	15732.00	1464.65	2.00	314.64	7817.36	15732.00	Based on Sales Quotation 1018
1011	C40001	C	2017-03-23	2017-03-23	USD	3823.75	305.90	0.00	0.00	2071.25	3823.75	Based on Sales Quotation 1000
1012	C40002	C	2017-04-04	2017-04-26	USD	30822.08	2869.54	2.00	616.44	15750.64	30822.08	Have a nice day!
1013	C40001	C	2017-04-05	2017-04-29	USD	4355.78	348.46	0.00	0.00	2343.28	4355.78	Thank you for your order!
1014	C40002	C	2017-06-06	2017-06-09	USD	1241875.85	119838.86	2.00	24837.52	710999.46	1235902.12	Have a nice day!
1015	C30009	C	2017-06-11	2017-06-13	USD	57680.00	4614.40	0.00	0.00	28817.50	57680.00	Thank you for your order!
1016	C40001	C	2017-06-13	2017-06-15	USD	94909.50	7592.76	0.00	0.00	49059.50	94909.50	Based on Sales Quotation 1023
1017	C40005	C	2017-06-15	2017-06-17	USD	88800.00	7992.00	0.00	0.00	44400.00	88800.00	Thank you for your order!
1018	C23900	O	2017-06-16	2017-06-19	USD	44660.00	0.00	0.00	0.00	22330.00	0.00	Have a nice day!
1019	C23900	H	2017-06-19	2017-06-20	USD	390940.00	0.00	0.00	0.00	195455.00	0.00	Based on Sales Quotation 1024
1020	C30009	C	2017-06-23	2017-06-26	USD	390940.00	31275.20	0.00	0.00	195455.00	390940.00	Have a nice day!
1021	C40002	C	2017-07-03	2017-07-07	USD	342061.35	31845.91	2.00	6841.23	169852.62	342061.35	Thank you for your order!
1022	C40003	C	2017-07-07	2017-07-09	USD	342061.35	30871.04	5.00	17103.07	159590.78	342061.35	Have a nice day!
1023	C40005	C	2017-07-07	2017-07-11	USD	90038.85	8103.50	0.00	0.00	46421.35	90038.85	Thank you for your order!
1024	C23900	H	2017-07-10	2017-07-16	USD	28000.00	0.00	0.00	0.00	28000.00	0.00	Have a nice day!
1025	C30009	C	2017-07-15	2017-07-18	USD	14000.00	1120.00	0.00	0.00	14000.00	14000.00	Thank you for your order!
1026	C40001	C	2017-07-21	2017-07-25	USD	2800.00	224.00	0.00	0.00	2800.00	2800.00	Based on Sales Quotation 1019
1027	C40001	C	2017-07-25	2017-07-26	USD	5600.00	448.00	0.00	0.00	5600.00	5600.00	Thank you for your order!
1028	C30009	C	2017-07-26	2017-07-29	USD	2100.00	168.00	0.00	0.00	1050.00	2100.00	Thank you for your order!
1029	C30009	H	2017-07-29	2017-07-29	USD	566.00	51.08	5.00	28.30	537.70	0.00	Have a nice day!
1030	C30009	O	2017-07-30	2017-07-31	USD	5000.00	400.00	0.00	0.00	2487.50	0.00	Have a nice day!
1031	C40003	O	2017-08-05	2017-08-06	USD	16744.00	1511.15	5.00	837.20	9876.80	0.00	Thank you for your order!
1032	C30009	O	2017-08-07	2017-08-09	USD	88000.00	7040.00	0.00	0.00	44000.00	50112.00	Based on Sales Quotation 1029
1033	C30009	O	2017-08-09	2017-08-13	USD	400.00	32.00	0.00	0.00	400.00	0.00	Have a nice day!
1034	C30000	O	2017-08-15	2017-08-15	USD	16295.50	1238.46	20.00	3259.10	6233.14	14274.86	Have a nice day!
1035	C40000	O	2017-08-20	2017-08-25	USD	7693.50	369.29	20.00	1538.70	2959.80	6539.09	Thank you for your order!
1036	C10007	O	2017-08-23	2017-08-24	USD	13120.00	892.16	15.00	1968.00	4868.74	0.00	Based on Sales Quotation 1039
1037	C10002	O	2017-08-25	2017-08-29	USD	13680.00	963.07	12.00	1641.60	5472.64	13111.47	Based on Sales Quotation 1038
1038	C10011	O	2017-08-26	2017-08-28	USD	25120.00	0.00	20.00	5024.00	8094.48	20151.00	Based on Sales Quotation 1035
1039	C10012	C	2017-08-30	2017-09-02	USD	13120.00	747.84	5.00	656.00	6180.74	13120.00	Based on Sales Quotation 1037
1040	C10014	C	2017-09-17	2017-09-18	USD	13120.00	747.84	5.00	656.00	6180.74	13120.00	Based on Sales Quotation 1043
1041	C10008	C	2017-09-19	2017-09-20	USD	12857.60	732.88	5.00	642.88	5931.46	12857.60	Based on Sales Quotation 1040
1042	C10012	H	2017-09-20	2017-09-25	USD	13120.00	747.84	5.00	656.00	6180.74	0.00	Based on Sales Quotation 1037
1043	C10013	O	2017-09-26	2017-09-29	USD	75920.00	3947.84	35.00	26572.00	13060.94	53350.84	Based on Sales Quotation 1044
1044	C10003	H	2017-09-28	2017-09-30	USD	12560.00	0.00	5.00	628.00	5931.24	0.00	Thank you for your order!
1045	C10009	C	2017-09-29	2017-09-30	USD	39920.00	2389.21	0.25	99.80	20687.92	39920.00	Have a nice day!
1046	C10001	O	2017-09-30	2017-10-15	USD	14240.00	726.24	15.00	2136.00	5255.74	0.00	Thank you for your order!
1047	C10001	O	2017-10-19	2017-10-30	USD	14240.00	968.32	15.00	2136.00	5255.74	0.00	Based on Sales Quotation 1042
1048	C10004	O	2017-10-20	2017-10-29	USD	15920.00	1271.05	0.20	31.84	8192.40	0.00	Thank you for your order!
1049	C10014	O	2017-10-21	2017-10-30	USD	13680.00	779.76	5.00	684.00	6430.24	0.00	Based on Sales Quotation 1043
1050	C10005	O	2017-10-22	2017-11-15	USD	27920.00	1719.87	23.00	6421.60	8084.38	0.00	Based on Sales Quotation 1047
1051	C10004	O	2017-10-23	2017-11-15	USD	15920.00	1018.88	20.00	3184.00	5040.24	0.00	Based on Sales Quotation 1046
1052	C10010	O	2017-10-24	2017-11-15	USD	26240.00	0.00	8.00	2099.20	6252.54	0.00	Have a nice day!
1053	C10006	O	2017-10-25	2017-11-20	USD	1120.00	786.81	5.00	56.00	291.20	0.00	Based on Sales Quotation 1036
1054	C10015	H	2017-10-26	2017-11-21	USD	12000.00	786.81	3.00	360.00	5640.00	0.00	Based on Sales Quotation 1048
