1000	1	A00002	2	655.50	5.00	1311.00		
1000	2	A00003	3	633.65	5.00	1900.95		
1000	3	A00004	1	611.80	5.00	611.80		
1001	1	A00001	10	748.65	7.00	7486.50		
1001	2	A00002	20	621.00	10.00	12420.00		
1001	3	A00003	5	633.65	5.00	3168.25		
1002	1	A00004	5	611.80	5.00	3059.00		
1002	2	A00005	12	235.29	7.00	2823.48		
1002	3	A00006	1	830.30	5.00	830.30		
1002	4	A00007	10	224.60	7.00	2246.00		
1002	5	A00008	3	390.00	0.00	1170.00		
1003	1	A00002	10	641.70	7.00	6417.00		
1003	2	A00005	2	240.35	5.00	480.70		
1003	3	A00007	5	229.43	5.00	1147.15		
1003	4	B20349	10	190.00	0.00	1900.00		
1004	1	A00001	50	724.50	10.00	36225.00		
1004	2	A00002	20	621.00	10.00	12420.00		
1004	3	A00003	20	600.30	10.00	12006.00		
1005	1	A00001	10	748.65	7.00	7486.50		
1005	2	A00002	20	621.00	10.00	12420.00		
1005	3	A00003	5	633.65	5.00	3168.25		
1006	1	A00002	10	655.50	5.00	6555.00		
1006	2	A00003	3	633.65	5.00	1900.95		
1006	3	A00004	10	611.80	5.00	6118.00		
1007	1	G1000	20	0.00	0.00	0.00		
1007	2	A00004	20	611.80	5.00	12236.00		
1007	3	B20349	20	190.00	0.00	3800.00		
1007	4	S00009	20	65.55	5.00	1311.00		
1008	1	G1000	3	0.00	0.00	0.00		
1008	2	A00004	3	560.00	0.00	1680.00		
1008	3	B20349	3	190.00	0.00	570.00		
1008	4	S00009	3	60.00	0.00	180.00		
1009	1	A00004	1	560.00	0.00	560.00		
1009	2	A00005	1	220.00	0.00	220.00		
1009	3	A00006	1	760.00	0.00	760.00		
1010	1	A00006	20	786.60	10.00	15732.00		
1011	1	A00002	2	655.50	5.00	1311.00		
1011	2	A00003	3	633.65	5.00	1900.95		
1011	3	A00004	1	611.80	5.00	611.80		
1012	1	A00001	10	760.00	5.59	7600.00		
1012	2	A00002	7	640.00	7.25	4480.00		
1012	3	A00003	9	650.00	2.55	5850.00		
1012	4	A00004	20	579.60	10.00	11592.00		
1012	5	A00005	1	240.35	5.00	240.35		
1012	6	A00006	1	830.30	5.00	830.30		
1012	7	A00007	1	229.43	5.00	229.43		
1013	1	A00001	1	764.75	5.00	764.75		
1013	2	A00002	1	655.50	5.00	655.50		
1013	3	A00003	1	633.65	5.00	633.65		
1013	4	A00004	1	611.80	5.00	611.80		
1013	5	A00005	1	240.35	5.00	240.35		
1013	6	A00006	1	830.30	5.00	830.30		
1013	7	A00007	1	229.43	5.00	229.43		
1013	8	A00008	1	390.00	0.00	390.00		
